Model,Layers,Parameters,mP,mR,mAP,mAP50,mAP75,Inference Speed
yolov8n-visdrone.pt,168,3007598,0.4426063527933094,0.3295576023658931,0.1917018472444061,0.3304700206710467,0.18848741597255156,47.72999382367099
yolov8s-visdrone.pt,168,11129454,0.518719413945514,0.3815029797410015,0.23414237446745723,0.3928088115110655,0.23539477511173498,109.77868137568453
yolov8m-visdrone.pt,218,25845550,0.558939976554637,0.4218445269517915,0.267190131623225,0.43905345176271443,0.27253672259178136,227.74308528343258
yolov8l-visdrone.pt,268,43614318,0.5587786175860374,0.44226358559294415,0.2800502520597787,0.4539566261424611,0.2886976087555123,422.46267177762775
yolov8x-visdrone.pt,268,68133198,0.5664772637048717,0.4470694262773969,0.286494726249056,0.4619953217883115,0.2955685903457172,635.1410568195538
