                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                  1.422,                 1.0333,                0.92727,                0.38456,                0.31404,                0.29751,                0.16936,                 1.4576,                   1.09,                0.93902,               0.006535,               0.006535,               0.006535
                     37,                 1.4174,                  1.034,                0.92688,                0.42034,                0.30165,                 0.3036,                0.17432,                 1.4415,                 1.0725,                0.93555,               0.006436,               0.006436,               0.006436
                     38,                 1.4127,                  1.023,                0.92484,                0.40971,                0.31034,                0.30085,                0.17175,                 1.4409,                 1.0645,                0.93398,               0.006337,               0.006337,               0.006337
                     39,                 1.4151,                 1.0258,                0.92272,                0.40243,                0.30944,                0.30207,                0.17185,                 1.4384,                 1.0696,                0.93422,               0.006238,               0.006238,               0.006238
                     40,                 1.4042,                 1.0145,                0.92191,                0.39123,                0.31033,                0.30033,                0.17247,                 1.4376,                   1.06,                0.93394,               0.006139,               0.006139,               0.006139
                     41,                 1.4053,                 1.0163,                0.92271,                0.40873,                0.31478,                0.30804,                0.17483,                 1.4297,                 1.0558,                0.93148,                0.00604,                0.00604,                0.00604
                     42,                 1.3986,                 1.0084,                0.92151,                0.40354,                0.30891,                0.30042,                0.17356,                 1.4361,                 1.0625,                0.93468,               0.005941,               0.005941,               0.005941
                     43,                 1.3982,                 1.0086,                0.92205,                  0.411,                 0.3226,                 0.3132,                0.17798,                  1.428,                 1.0581,                0.93195,               0.005842,               0.005842,               0.005842
                     44,                 1.4047,                 1.0115,                0.92149,                0.41489,                 0.3081,                0.30678,                0.17708,                 1.4292,                 1.0469,                0.93146,               0.005743,               0.005743,               0.005743
                     45,                 1.3856,                 0.9969,                0.91948,                0.41168,                0.31481,                0.30573,                0.17491,                 1.4298,                 1.0477,                0.93057,               0.005644,               0.005644,               0.005644
                     46,                 1.3923,                0.99953,                 0.9197,                 0.4151,                 0.3117,                0.30917,                0.17716,                  1.426,                 1.0488,                 0.9339,               0.005545,               0.005545,               0.005545
                     47,                 1.3918,                0.99586,                0.91906,                0.41229,                0.31972,                0.31303,                0.18088,                 1.4175,                 1.0426,                0.93308,               0.005446,               0.005446,               0.005446
                     48,                 1.3901,                0.99578,                0.91924,                0.42051,                0.31288,                0.31488,                0.18213,                 1.4121,                 1.0343,                0.93084,               0.005347,               0.005347,               0.005347
                     49,                 1.3886,                0.99393,                0.91799,                0.41917,                0.31604,                0.31064,                0.17766,                 1.4255,                 1.0476,                0.92977,               0.005248,               0.005248,               0.005248
                     50,                 1.3791,                0.98382,                 0.9155,                0.40904,                0.31502,                0.30852,                0.17735,                 1.4255,                 1.0471,                0.93095,               0.005149,               0.005149,               0.005149
                     51,                 1.3899,                0.99331,                 0.9182,                0.41851,                0.32174,                0.31671,                0.18157,                 1.4163,                 1.0283,                0.92913,                0.00505,                0.00505,                0.00505
                     52,                 1.3781,                0.97857,                 0.9178,                0.41073,                0.32023,                0.31445,                0.18097,                 1.4228,                 1.0302,                0.93228,               0.004951,               0.004951,               0.004951
                     53,                 1.3765,                0.98306,                0.91503,                0.42543,                0.32211,                0.31788,                0.18347,                 1.4079,                 1.0271,                0.93135,               0.004852,               0.004852,               0.004852
                     54,                 1.3816,                0.98111,                0.91568,                0.42749,                0.32094,                0.31841,                0.18482,                 1.4054,                  1.025,                0.92598,               0.004753,               0.004753,               0.004753
                     55,                 1.3747,                0.97725,                0.91405,                0.42419,                0.31976,                0.32009,                0.18394,                 1.4103,                 1.0229,                 0.9256,               0.004654,               0.004654,               0.004654
                     56,                 1.3671,                0.97418,                0.91451,                0.43199,                 0.3287,                0.32482,                0.18786,                 1.3987,                 1.0158,                0.92583,               0.004555,               0.004555,               0.004555
                     57,                 1.3649,                0.96563,                0.91282,                0.42004,                0.32959,                0.32317,                 0.1863,                 1.4009,                 1.0272,                0.92647,               0.004456,               0.004456,               0.004456
                     58,                 1.3711,                0.97283,                0.91388,                0.43226,                0.32709,                0.32256,                0.18697,                 1.3995,                  1.017,                0.92603,               0.004357,               0.004357,               0.004357
                     59,                 1.3729,                0.96948,                0.91394,                0.41923,                0.33132,                0.31917,                0.18477,                 1.4047,                 1.0253,                0.92705,               0.004258,               0.004258,               0.004258
                     60,                 1.3647,                0.96011,                0.91418,                0.42812,                0.31972,                0.32228,                0.18528,                 1.4106,                 1.0216,                0.92818,               0.004159,               0.004159,               0.004159
                     61,                 1.3648,                0.96236,                0.91443,                0.41908,                0.32742,                0.32066,                0.18623,                  1.404,                 1.0224,                0.92554,                0.00406,                0.00406,                0.00406
                     62,                 1.3626,                0.95533,                0.91175,                 0.4286,                0.33166,                0.32647,                0.18903,                  1.399,                 1.0131,                0.92618,               0.003961,               0.003961,               0.003961
