Model,Layers,Parameters,mP,mR,mAP,mAP50,mAP75,Inference Speed
yolov8n-visdrone.pt,168,3007598,0.450920674474688,0.33088133614031723,0.19619597187785143,0.3352937495362001,0.19389938157325354,5.728687248090758
yolov8s-visdrone.pt,168,11129454,0.5202512106798504,0.3886615548753324,0.2386341584406186,0.39973580747815135,0.2405703415177265,9.930911290384557
yolov8m-visdrone.pt,218,25845550,0.5599404780669364,0.42740234303965724,0.2705773177094054,0.44440621975365585,0.2760012611553361,14.621206443675243
yolov8l-visdrone.pt,268,43614318,0.5587795435933568,0.4422656030633809,0.28004970051986566,0.4539566685036508,0.28869763134739423,23.338182129129006
yolov8x-visdrone.pt,268,68133198,0.5664775040306245,0.44706966344221033,0.28649454875966585,0.4619952033898181,0.29556856432412365,35.07669955274485
